Consumer_ID,Type,Cluster
1,Residential,2
2,Residential,2
3,Residential,2
4,Residential,2
5,Residential,2
6,Residential,2
7,Residential,2
8,Residential,2
9,Residential,2
10,Residential,2
11,Residential,2
12,Residential,2
13,Residential,2
14,Residential,2
15,Residential,2
16,Residential,2
17,Residential,2
18,Commercial,0
19,Commercial,0
20,Commercial,0
21,Commercial,0
22,Commercial,0
23,Commercial,0
24,Commercial,0
25,Commercial,0
26,Commercial,0
27,Commercial,0
28,Commercial,0
29,Commercial,0
30,Commercial,0
31,Commercial,0
32,Commercial,0
33,Commercial,0
34,Commercial,0
35,Industrial,1
36,Industrial,1
37,Industrial,1
38,Industrial,1
39,Industrial,1
40,Industrial,1
41,Industrial,1
42,Industrial,1
43,Industrial,1
44,Industrial,1
45,Industrial,1
46,Industrial,1
47,Industrial,1
48,Industrial,1
49,Industrial,1
50,Industrial,1
